[117] N:37.523673 - E:139.939268 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -50 / Time: Sat May  6 20:02:34 2017
[118] N:37.523673 - E:139.939268 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -63 / Time: Sat May  6 20:02:34 2017
[119] N:37.523673 - E:139.939267 / MAC address: B8:81:98:C5:55:D5 / RSSI: -80 / Time: Sat May  6 20:02:35 2017
[120] N:37.523675 - E:139.939267 / MAC address: 1C:3E:84:1D:37:7F / RSSI: -79 / Time: Sat May  6 20:02:36 2017
[121] N:37.523675 - E:139.939263 / MAC address: 1C:3E:84:1D:37:7F / RSSI: -84 / Time: Sat May  6 20:02:36 2017
[122] N:37.523677 - E:139.939265 / MAC address: B8:81:98:C5:55:D5 / RSSI: -82 / Time: Sat May  6 20:02:37 2017
[123] N:37.523682 - E:139.939268 / MAC address: 08:ED:B9:71:D6:C1 / RSSI: -82 / Time: Sat May  6 20:02:37 2017
[124] N:37.523685 - E:139.939270 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -68 / Time: Sat May  6 20:02:38 2017
[125] N:37.523687 - E:139.939270 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -70 / Time: Sat May  6 20:02:38 2017
[126] N:37.523685 - E:139.939268 / MAC address: 24:77:03:08:84:44 / RSSI: -78 / Time: Sat May  6 20:02:39 2017
[127] N:37.523680 - E:139.939267 / MAC address: B8:81:98:C5:55:D5 / RSSI: -81 / Time: Sat May  6 20:02:39 2017
[128] N:37.523677 - E:139.939270 / MAC address: 24:77:03:08:84:44 / RSSI: -80 / Time: Sat May  6 20:02:39 2017
[129] N:37.523677 - E:139.939270 / MAC address: 80:2A:55:07:6C:87 / RSSI: -82 / Time: Sat May  6 20:02:39 2017
[130] N:37.523680 - E:139.939273 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -70 / Time: Sat May  6 20:02:40 2017
[131] N:37.523685 - E:139.939277 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -70 / Time: Sat May  6 20:02:40 2017
